date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:48	14626/14626	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2013:50:03%20GMT	https://site.vrzcentral.online/inicio/proposta-aprovada.digital/quiz.html?xcod=FBhQwK21wXxRCRIATIVO+4+VALIDADO+21.02+NORMA+NEW+%E2%80%94+C%C3%B3pia%7C120216749309470269hQwK21wXxRNovo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia%7C120216749311020269hQwK21wXxRNovo+an%C3%BAncio+de+Vendas%7C120216749310460269hQwK21wXxRInstagram_Reels	C:/Users/allys/Downloads/verazion%20melhor/site.vrzcentral.online/inicio/proposta-aprovada.digital/quiz3b70.html	(from )
13:19:48	194/194	---MCZ	404	error ('Not%20Found')	application/xml	date:Fri,%2021%20Feb%202025%2016:19:49%20GMT	https://site.vrzcentral.online/robots.txt		(from )
13:19:49	130729/130729	---MCZ	200	added ('OK')	text/css	etag:W/%2211d81bd2054d04c08dd086f3a64eedba%22	https://site.vrzcentral.online/inicio/proposta-aprovada.digital/css/remixicon.min.css	C:/Users/allys/Downloads/verazion%20melhor/site.vrzcentral.online/inicio/proposta-aprovada.digital/css/remixicon.min.css	(from https://site.vrzcentral.online/inicio/proposta-aprovada.digital/quiz.html?xcod=FBhQwK21wXxRCRIATIVO+4+VALIDADO+21.02+NORMA+NEW+%E2%80%94+C%C3%B3pia%7C120216749309470269hQwK21wXxRNovo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia%7C120216749311020269hQwK21wXxRNovo+an%C3%BAncio+de+Vendas%7C120216749310460269hQwK21wXxRInstagram_Reels)
13:19:50	246081/246081	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2021%20Feb%202025%2016:19:49%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/allys/Downloads/verazion%20melhor/connect.facebook.net/en_US/fbevents.js	(from https://site.vrzcentral.online/inicio/proposta-aprovada.digital/quiz.html?xcod=FBhQwK21wXxRCRIATIVO+4+VALIDADO+21.02+NORMA+NEW+%E2%80%94+C%C3%B3pia%7C120216749309470269hQwK21wXxRNovo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia%7C120216749311020269hQwK21wXxRNovo+an%C3%BAncio+de+Vendas%7C120216749310460269hQwK21wXxRInstagram_Reels)
13:19:50	126193/126193	---M--	200	added ('OK')	image/png	etag:%22fffbadcc03fc1269c9a0eb8935c96aff%22	https://site.vrzcentral.online/inicio/proposta-aprovada.digital/images/logo.png	C:/Users/allys/Downloads/verazion%20melhor/site.vrzcentral.online/inicio/proposta-aprovada.digital/images/logo.png	(from https://site.vrzcentral.online/inicio/proposta-aprovada.digital/quiz.html?xcod=FBhQwK21wXxRCRIATIVO+4+VALIDADO+21.02+NORMA+NEW+%E2%80%94+C%C3%B3pia%7C120216749309470269hQwK21wXxRNovo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia%7C120216749311020269hQwK21wXxRNovo+an%C3%BAncio+de+Vendas%7C120216749310460269hQwK21wXxRInstagram_Reels)
13:19:51	12083/12083	---MCZ	200	added ('OK')	application/javascript	etag:W/%222f33-1951ae1d678%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Users/allys/Downloads/verazion%20melhor/cdn.utmify.com.br/scripts/utms/latest.js	(from https://site.vrzcentral.online/inicio/proposta-aprovada.digital/quiz.html?xcod=FBhQwK21wXxRCRIATIVO+4+VALIDADO+21.02+NORMA+NEW+%E2%80%94+C%C3%B3pia%7C120216749309470269hQwK21wXxRNovo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia%7C120216749311020269hQwK21wXxRNovo+an%C3%BAncio+de+Vendas%7C120216749310460269hQwK21wXxRInstagram_Reels)
13:19:53	32796/32796	---MCZ	200	added ('OK')	application/javascript	etag:W/%22801c-1951ae1d678%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Users/allys/Downloads/verazion%20melhor/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://site.vrzcentral.online/inicio/proposta-aprovada.digital/quiz.html?xcod=FBhQwK21wXxRCRIATIVO+4+VALIDADO+21.02+NORMA+NEW+%E2%80%94+C%C3%B3pia%7C120216749309470269hQwK21wXxRNovo+conjunto+de+an%C3%BAncios+de+Vendas+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia+%E2%80%94+C%C3%B3pia%7C120216749311020269hQwK21wXxRNovo+an%C3%BAncio+de+Vendas%7C120216749310460269hQwK21wXxRInstagram_Reels)
13:19:54	176812/176812	---MCZ	200	added ('OK')	text/plain	etag:W/%229f0118b43f57fc3ea9f55bbfb3a3b185%22	https://site.vrzcentral.online/inicio/proposta-aprovada.digital/fonts/remixicon.woff2	C:/Users/allys/Downloads/verazion%20melhor/site.vrzcentral.online/inicio/proposta-aprovada.digital/fonts/remixicon.woff2	(from https://site.vrzcentral.online/inicio/proposta-aprovada.digital/css/remixicon.min.css)
13:19:54	570148/570148	---MCZ	200	added ('OK')	text/plain	etag:W/%22dac4ef0ef418896d01ba68d175991aeb%22	https://site.vrzcentral.online/inicio/proposta-aprovada.digital/fonts/remixicon.eot	C:/Users/allys/Downloads/verazion%20melhor/site.vrzcentral.online/inicio/proposta-aprovada.digital/fonts/remixicon.eot	(from https://site.vrzcentral.online/inicio/proposta-aprovada.digital/css/remixicon.min.css)
13:19:54	242720/242720	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2228685aad5c1fd9680c4ffa9061bf8398%22	https://site.vrzcentral.online/inicio/proposta-aprovada.digital/fonts/remixicon.woff	C:/Users/allys/Downloads/verazion%20melhor/site.vrzcentral.online/inicio/proposta-aprovada.digital/fonts/remixicon.woff	(from https://site.vrzcentral.online/inicio/proposta-aprovada.digital/css/remixicon.min.css)
